title,type,release_year,age_certification,runtime,genre,production_countries,seasons,imdb_votes,tmdb_popularity,average_score
Sam Smith: Love Goes – Live at Abbey Road Studios,MOVIE,2021,,61,music,['US'],,,1.78,8.829999999999998
Agnes,MOVIE,2021,,93,horror,['US'],,1014.0,6.985,4.3
Her Name Is Chef,MOVIE,2021,,99,documentation,[],,42.0,1.814,5.6
Riverdance: The Animated Adventure,MOVIE,2021,,86,animation,['CA'],,1815.0,113.987,5.765000000000001
Death in Texas,MOVIE,2021,,102,crime,['US'],,555.0,5.237,6.0
We Need to Do Something,MOVIE,2021,,97,thriller,['US'],,2315.0,5.721,5.495
Murder by the Coast,MOVIE,2021,PG-13,88,crime,['ES'],,2134.0,8.719,6.630000000000001
The Unjust,MOVIE,2010,,119,thriller,['KR'],,2217.0,5.963,6.68
Ride the Eagle,MOVIE,2021,,89,drama,['US'],,2171.0,4.139,6.805000000000001
Operation Mincemeat,MOVIE,2022,PG-13,128,drama,"['GB', 'US']",,18893.0,44.29,6.8149999999999995
One Lagos Night,MOVIE,2021,,103,crime,['NG'],,17.0,1.834,6.6
Let Us In,MOVIE,2021,,84,scifi,['US'],,526.0,4.894,4.67
Headspace Unwind you Mind,MOVIE,2021,G,15,animation,['US'],,132.0,6.434,7.34
A Classic Horror Story,MOVIE,2021,,95,horror,['IT'],,,62.411,6.3100000000000005
Interceptor,MOVIE,2022,PG-13,98,thriller,['AU'],,20007.0,438.512,5.5085
Clash,MOVIE,2021,,88,family,"['CA', 'NG']",,34.0,1.253,6.1
The House of Flowers: The Movie,MOVIE,2021,R,86,drama,['MX'],,851.0,34.004,6.85
Blue Miracle,MOVIE,2021,,95,family,"['MX', 'US']",,6778.0,17.953,7.22
Trippin’ with the Kandasamys,MOVIE,2021,,93,romance,['ZA'],,376.0,17.846,6.01
The Trip,MOVIE,2021,,114,action,['NO'],,20921.0,65.274,6.965
The Vault,MOVIE,2021,R,118,crime,['ES'],,21511.0,22.456,6.355
Hypnotic,MOVIE,2021,,88,thriller,['CA'],,15690.0,71.857,5.904450000000001
Kate,MOVIE,2021,R,106,action,"['JP', 'TH', 'US']",,59480.0,64.19,6.615
Myriam Fares: The Journey,MOVIE,2021,,72,documentation,['LB'],,167.0,1.487,2.3
Vacation Friends,MOVIE,2021,R,103,comedy,['US'],,20504.0,129.859,6.890000000000001
The Phantom,MOVIE,2021,,81,documentation,"['GB', 'US']",,759.0,3.462,6.495
The Year of the Everlasting Storm,MOVIE,2021,,115,drama,"['CL', 'CN', 'IR', 'TH', 'US']",,206.0,2.934,6.369999999999999
Alan Saldaña: Locked Up,MOVIE,2021,,49,comedy,[],,,6.67,6.4
Trees of Peace,MOVIE,2021,NC-17,97,drama,['US'],,1104.0,118.558,6.985
Small Chops,MOVIE,2020,,98,drama,['NG'],,31.0,1.2,3.0
Army of Thieves,MOVIE,2021,R,127,comedy,"['DE', 'US']",,73790.0,157.021,6.805000000000001
Like A Rolling Stone: The Life & Times of Ben Fong-Torres,MOVIE,2021,,102,documentation,['US'],,233.0,1.706,8.65
Louis C.K.: Hilarious,MOVIE,2010,,84,comedy,['US'],,12089.0,5.717,8.254999999999999
Trese After Dark,MOVIE,2021,PG-13,36,documentation,['PH'],,,2.792,7.75
Bordertown: The Mural Murders,MOVIE,2021,,107,crime,['FI'],,2219.0,69.693,6.615
My Wonderful Life,MOVIE,2021,,99,romance,['PL'],,626.0,4.228,5.425
In for a Murder,MOVIE,2021,,105,comedy,['PL'],,1484.0,62.599,5.715
Upcoming Summer,MOVIE,2021,,115,drama,['CN'],,486.0,3.257,6.640000000000001
Sinbad: Son of a Preacher Man,MOVIE,1996,,56,comedy,['US'],,116.0,1.536,6.51
Ong Bak 3,MOVIE,2010,R,95,action,['TH'],,13800.0,23.601,5.65
Mr. Deeds,MOVIE,2002,PG-13,96,romance,['US'],,143007.0,21.324,6.01
Aileen Wuornos: American Boogeywoman,MOVIE,2021,R,85,thriller,['US'],,1538.0,6.83,4.78
Inuyasha the Movie 2: The Castle Beyond the Looking Glass,MOVIE,2002,PG-13,100,fantasy,['JP'],,2148.0,30.957,7.57
Blippi's Snowflake Scavenger Hunt,MOVIE,2020,,52,,[],,,,
Road to Perdition,MOVIE,2002,R,117,thriller,['US'],,265216.0,18.739,7.68
Happiness Ever After,MOVIE,2021,,99,drama,['ZA'],,163.0,11.536,5.885
The Land,MOVIE,2021,,103,comedy,['PL'],,473.0,1.627,6.07
Lethal Love,MOVIE,2021,,87,thriller,[],,233.0,,4.4
Prophetess,MOVIE,2021,,144,drama,[],,6.0,1.4,7.5
Ted Bundy: American Boogeyman,MOVIE,2021,,110,drama,['US'],,991.0,16.784,5.005000000000001
Lokillo,MOVIE,2021,,90,comedy,['CO'],,68.0,26.005,5.234999999999999
Kedibone,MOVIE,2020,,94,drama,['ZA'],,174.0,2.368,7.25
India Sweets and Spices,MOVIE,2021,PG-13,101,drama,['US'],,484.0,2.662,6.15
Everything Must Go,MOVIE,2011,R,97,romance,['US'],,50792.0,9.825,6.445
The Father Who Moves Mountains,MOVIE,2021,PG-13,108,thriller,"['RO', 'SE']",,3472.0,19.955,5.95
The Wonderful: Stories from the Space Station,MOVIE,2021,,129,documentation,['US'],,,1.983,7.3
Snakehead,MOVIE,2021,,89,crime,['US'],,702.0,5.536,5.975
Lee Su-geun: The Sense Coach,MOVIE,2021,,45,comedy,['KR'],,38.0,1.058,4.125
Pig,MOVIE,2021,R,91,thriller,"['GB', 'US']",,63927.0,18.397,6.965
