title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,normalized_tmdb_score,top_genres,genres_count,production_countries_count,average_score,score_difference,genres_uniqueness,production_countries_uniqueness,title_uniqueness_norm,description_ari,description_word_count,description_character_count,title_ari,title_word_count,title_character_count,description_sentiment,title_sentiment,top_one_genre
Space Dandy,SHOW,"Space Dandy is a dandy in space! This dreamy adventurer with a to-die-for pompadour travels across the galaxy in search of aliens no one has ever laid eyes on. Each new species he discovers earns him a hefty reward, but this dandy has to be quick on his feet because it’s first come – first served! Accompanied by his sidekicks, a rundown robot named QT and Meow the cat-looking space alien, Dandy bravely explores unknown worlds inhabited by a variety aliens. Join the best dressed alien hunter in all of space and time as he embarks on an adventure that ends at the edge of the universe!",2014,TV-14,24,"['action', 'animation', 'comedy', 'scifi']",['JP'],2,8.1,3954,13.593,7.57,"['action', 'animation']",4.0,1.0,7.835,0.5299999999999994,0.7885563070459128,0.9276483709208561,0.6121902520584769,10.6,117,589,3.1,2,11,0.6845422247424722,0.12569183856248856,action
Your Lie in April,SHOW,"Kousei Arima was a genius pianist until his mother's sudden death took away his ability to play. Each day was dull for Kousei. But, then he meets a violinist named Kaori Miyazono who has an eccentric playing style. Can the heartfelt sounds of the girl's violin lead the boy to play the piano again?",2014,TV-PG,22,"['animation', 'drama', 'music', 'romance']",['JP'],1,8.5,25293,45.087,9.010000000000002,"['animation', 'music']",4.0,1.0,8.755,-0.5100000000000016,0.8227047308570702,0.9276483709208561,0.45339074596579754,6.7,61,298,-3.0,4,17,-0.2577252611517906,-0.28249020129442215,animation
Drinking Buddies,MOVIE,"Weekend trips, office parties, late night conversations, drinking on the job, marriage pressure, biological clocks, holding eye contact a second too long… you know what makes the line between “friends” and “more than friends” really blurry? Beer.",2013,R,95,"['comedy', 'drama', 'romance']",['US'],,6.1,58224,9.785,6.4,"['comedy', 'drama']",3.0,1.0,6.25,-0.3000000000000007,0.6961172323212071,0.5545224005796812,0.5013732898076589,23.8,49,246,14.9,2,16,-0.4797288700938225,0.10461173392832279,comedy
The Musketeers,SHOW,"Set in 17th century Paris, musketeers Athos, Porthos, Aramis and D'Artagnan are members of an elite band of soldiers who fight for what is just. They are heroes in the truest and most abiding sense – men that can be trusted and believed in to do the right thing, regardless of personal risk.",2014,TV-14,56,"['action', 'drama', 'european']",['GB'],3,7.8,22080,22.752,7.21,"['action', 'drama']",3.0,1.0,7.505,0.5899999999999999,0.8192445593209774,0.9307862760908432,0.8229586848987744,13.2,59,291,10.2,2,14,0.7926678494550288,0.01187705248594284,action
Akame ga Kill!,SHOW,"Young Tatsumi travels to the capital of the Empire in order to earn money for his starving people and encounters a world of unimaginable depravity, dominated by the ruthless Prime Minister who controls the child Emperor. Tatsumi is recruited by Night Raid, a group of assassins dedicated to eliminating corruption by mercilessly killing officials and privileged nobles.",2014,TV-MA,23,"['action', 'animation', 'comedy', 'crime', 'drama', 'fantasy', 'horror', 'romance', 'thriller']",['JP'],1,7.8,22699,71.33,8.65,"['action', 'drama']",9.0,1.0,8.225,-0.8500000000000005,0.6819090103875532,0.9276483709208561,0.5013732883341715,18.7,61,369,-1.2,4,14,-0.70347292535007,-0.37157978117465973,action
The Judge,MOVIE,"A successful lawyer returns to his hometown for his mother's funeral only to discover that his estranged father, the town's judge, is suspected of murder.",2014,R,141,"['crime', 'drama', 'european']",['US'],,7.4,188437,28.755,7.57,"['crime', 'drama']",3.0,1.0,7.485,-0.16999999999999993,0.8219159973715854,0.5545224005796812,0.8229586835144397,15.6,30,154,-1.7,2,9,-0.6125815883278847,-0.07934634387493134,crime
Parasyte -the maxim-,SHOW,"A species of parasitic aliens descends on Earth and quickly infiltrates humanity by entering the brains of vulnerable targets; insatiable beings that gain total control of their host and are capable of transforming themselves to feed on unsuspecting prey. High school student Shinichi Izumi falls victim to one of these parasites, but the creature fails to take over his brain and ends up in his right hand.",2014,TV-MA,22,"['action', 'animation', 'drama', 'horror', 'romance', 'scifi', 'thriller']",['JP'],1,8.3,34870,49.144,8.65,"['action', 'scifi']",7.0,1.0,8.475000000000001,-0.34999999999999964,0.7443694579284627,0.9276483709208561,0.30164126268384567,19.3,71,407,8.3,3,20,-0.8301022052764893,-0.037438586354255676,action
Vanderpump Rules,SHOW,"Follow the passionate, volatile and hot-and-bothered-staff at Lisa Vanderpump’s West Hollywood mainstay SUR. Lisa balances her motherly instincts and shrewd business sense to keep control over this wild group of employees as they pursue their dreams and each other while working at her “Sexy, Unique Restaurant.”",2013,TV-14,43,['reality'],['US'],9,5.4,2618,15.936,6.76,['reality'],1.0,1.0,6.08,-1.3599999999999994,0.9555180933659505,0.5545224005796812,0.45339074467301554,17.4,54,312,14.9,2,16,0.5198448561131954,0.08896967768669128,reality
Please Like Me,SHOW,"After breaking up with his girlfriend, Josh comes to the realization that he is homosexual. With the support of his now ex girlfriend Claire, and his best friend and house mate Tom, Josh must help his mother with her battle with depression and the rest of his family embrace his new found lifestyle.",2013,TV-MA,26,"['comedy', 'drama', 'romance']",['AU'],4,8.5,17450,8.951,8.02,"['comedy', 'drama']",3.0,1.0,8.26,0.4800000000000004,0.6961172323212071,0.9838745166246264,0.5541555488079573,13.8,58,299,-1.2,3,14,0.194662444293499,0.39948671869933605,comedy
KILL la KILL,SHOW,"Honnouji Academy is forcefully ruled by the iron-fisted control of its student council and its president, Satsuki Kiryuuin. Transfer student, Ryuuko Matoi, arrives on campus carrying a giant sword, that is actually half of a scissor. She is looking for the woman who holds the other half of her sword who killed her father. It is said that Satsuki Kiryuuin knows the identity of the killer but when Ryuuko confronts her she is beaten by the student council and their powerful ""goku uniforms"" whom she cannot match in strength. However, once Ryuuko receives her own ""Kamui"" by the name of Senketsu , the odds are lifted in her favor.",2013,TV-MA,25,"['action', 'animation', 'comedy', 'drama', 'fantasy', 'scifi']",['JP'],1,7.9,13372,20.572,8.56,"['action', 'scifi']",6.0,1.0,8.23,-0.6600000000000001,0.7307487275842234,0.9276483709208561,0.45339074495366766,12.2,124,632,-4.3,3,12,-0.14690129458904266,-0.5901499036699533,action
Mike Tyson Mysteries,SHOW,"Mike Tyson is taking the fight from the boxing ring to the streets … by solving mysteries! Aided by the Mike Tyson Mystery Team — the Ghost of the Marquess of Queensberry, Mike’s adopted Korean daughter and a pigeon who was once a man — Mike Tyson will answer any plea sent to him.",2014,TV-14,11,"['animation', 'comedy', 'crime', 'fantasy', 'horror', 'scifi']",['US'],4,8.2,4728,10.851,7.660000000000001,"['animation', 'scifi']",6.0,1.0,7.93,0.5399999999999983,0.7873728249693,0.5545224005796812,0.409792249682423,12.4,59,281,8.3,3,20,0.277380065061152,-0.0189615860581398,animation
Salem,SHOW,"Set in the volatile world of 17th century Massachusetts, 'Salem' explores what really fueled the town's infamous witch trials and dares to uncover the dark, supernatural truth hiding behind the veil of this infamous period in American history. In Salem, witches are real, but they are not who or what they seem.",2014,TV-MA,46,"['drama', 'fantasy', 'horror', 'scifi', 'thriller']",['US'],3,7.1,23530,20.067,7.660000000000001,"['fantasy', 'scifi']",5.0,1.0,7.380000000000001,-0.5600000000000014,0.7986564871590096,0.5545224005796812,0.8229586832832637,15.1,60,311,2.6,1,5,-0.5106646604835987,0.014023572206497192,drama
Cutthroat Kitchen,SHOW,"Just how far is a chef willing to go to win a cooking competition? Cutthroat Kitchen hands four chefs each $25,000 and the opportunity to spend that money on helping themselves or sabotaging their competitors. Ingredients will be thieved, utensils destroyed and valuable time on the clock lost when the chefs compete to cook delicious dishes while also having to outplot the competition. With Alton Brown as the devilish provocateur, nothing is out of bounds when money changes hands and we see just how far chefs will go to ensure they have the winning dish.",2013,TV-G,42,['reality'],['US'],15,7.2,1988,14.713,6.67,['reality'],1.0,1.0,6.9350000000000005,0.5300000000000002,0.9555180933659505,0.5545224005796812,0.5013732868785233,13.5,102,559,17.3,2,17,-0.6212633587419987,-0.008115217089653015,reality
The Lord of the Skies,SHOW,"Set in the 1990s, these are the life and times of Amado Carrillo Fuentes, a man who became the head of the Juárez cartel. Nicknamed “El Señor de los Cielos” (Lord of the Skies) because of the large fleet of airplanes he used to transport drugs, he was also known for washing more than $200 million through Colombia to finance his huge fleet. He is described as the most powerful drug trafficker of his time.",2013,TV-14,44,"['action', 'crime', 'drama', 'romance', 'thriller']",['MX'],7,6.9,1047,425.484,7.93,"['drama', 'romance']",5.0,1.0,7.415,-1.0299999999999994,0.7248366350981603,0.9821845086248843,0.45339074451320976,12.0,86,407,-3.0,5,21,0.07309949398040771,0.1447981335222721,action
Phantom,MOVIE,"The haunted Captain of a Soviet submarine holds the fate of the world in his hands. Forced to leave his family behind, he is charged with leading a covert mission cloaked in mystery.",2013,R,99,"['drama', 'history', 'thriller', 'war']",['US'],,5.9,14275,22.148,6.3100000000000005,"['history', 'thriller']",4.0,1.0,6.105,-0.41000000000000014,0.8679802451138638,0.5545224005796812,0.9999999999209033,8.3,36,182,12.0,1,7,-0.4838161077350378,0.007109224796295166,drama
In the Flesh,SHOW,Thousands of dead people have risen from their graves and nearly destroyed Britain. A cure has been found - but can the treated zombies be rehabilitated back into living society?,2013,TV-14,57,"['drama', 'european', 'horror']",['GB'],2,7.9,13231,11.358,7.57,"['drama', 'horror']",3.0,1.0,7.735,0.33000000000000007,0.8547296828715313,0.9307862760908432,0.6759702655106734,10.0,32,178,-4.3,3,12,-0.6357446722686291,-0.020207367837429047,drama
My Mad Fat Diary,SHOW,"Set in 1996 in Lincolnshire, the show tells the tragic and humorous story of a very troubled young girl Rae, who has just left a psychiatric hospital, where she has spent four months after attempting suicide, begins to reconnect with her best friend Chloe and her group, who are unaware of Rae's mental health and body image problems, believing she was in France for the past four months.",2013,TV-MA,47,"['comedy', 'drama', 'romance']",['GB'],3,8.4,17286,29.931,8.379999999999999,"['comedy', 'drama']",3.0,1.0,8.39,0.02000000000000135,0.6961172323212071,0.9307862760908432,0.40979224861182695,34.8,76,388,-4.2,4,16,-0.2669047564268112,-0.25525400787591934,comedy
Atlantis,SHOW,"A fantasy drama set in a world of legendary heroes and mythical creatures. Far from home and desperate for answers, Jason washes up on the shores of an ancient land. A mysterious place; a world of bull leaping, of snake haired goddesses and of palaces so vast it was said they were built by giants - this is the city of Atlantis. Aided by his two new friends, Pythagoras and Hercules, Jason embarks on a voyage of discovery, and salvation, which sees him brush shoulders with Medusa, come face to face with the Minotaur and even do battle with the dead.",2013,TV-PG,45,"['drama', 'european', 'fantasy', 'romance', 'scifi']",['GB'],2,5.8,27,27.427,6.9399999999999995,"['drama', 'scifi']",5.0,1.0,6.369999999999999,-1.1399999999999997,0.7973523227085435,0.9307862760908432,0.9073848774125256,12.4,113,553,16.8,1,8,0.06293940544128418,0.06315474212169647,drama
A Field in England,MOVIE,"During the Civil War in 17th-Century England, a small group of deserters flee from a raging battle through an overgrown field. They are captured by an alchemist, who forces the group to aid him in his search to find a hidden treasure that he believes is buried in the field. Crossing a vast mushroom circle, which provides their first meal, the group quickly descend into a chaos of arguments, fighting and paranoia, and, as it becomes clear that the treasure might be something other than gold, they slowly become victim to the terrifying energies trapped inside the field.",2013,,90,"['drama', 'history', 'horror', 'thriller']",['GB'],,6.2,12580,6.052,6.67,"['horror', 'thriller']",4.0,1.0,6.4350000000000005,-0.46999999999999975,0.8393942943988126,0.9307862760908432,0.37019630720121927,17.8,109,574,-1.9,4,18,-0.6645514201372862,0.014578938484191895,drama
The Devil Is a Part-Timer!,SHOW,"Foiled by a hero when he’s inches away from conquering the world, the devil finds himself in modern-day Tokyo. With no real-world skills to speak of, the devil is forced to make ends meet flipping burgers at a fast food joint! To stall any further plans of world domination, the hero tracks the devil’s trail and takes on the lowly tasks of a telemarketer.",2013,TV-14,24,"['action', 'animation', 'comedy', 'fantasy', 'scifi']",['JP'],2,7.6,6535,45.87,7.75,"['action', 'scifi']",5.0,1.0,7.675,-0.15000000000000036,0.7838819439900546,0.9276483709208561,0.33425295100781843,10.8,74,356,1.8,6,26,-0.49025820568203926,-0.7152942232787609,action
Blippi,SHOW,Blippi is an energetic character that jumps off the screen with his goofy mannerisms but friendly demeanor. Children from the ages of 2 to 7 years old have quickly taken a liking to Blippi's fun personality and innovative teaching lessons.,2014,TV-Y7,13,['family'],['US'],1,6.8,461,0.853,7.3,['family'],1.0,1.0,7.05,-0.5,0.9312941150899294,0.5545224005796812,0.7460319354195722,12.1,43,239,7.3,1,6,0.977576925070025,-0.143142431974411,family
The Tonight Show Starring Jimmy Fallon,SHOW,"After Jay Leno's second retirement from the program, Jimmy Fallon stepped in as his permanent replacement. After 42 years in Los Angeles the program was brought back to New York.",2014,TV-14,45,"['comedy', 'music']",['US'],9,7.1,17819,407.404,6.49,"['comedy', 'music']",2.0,1.0,6.795,0.6099999999999994,0.8737503628053293,0.5545224005796812,0.09402683352367518,9.5,34,178,7.5,6,38,0.04280657693743706,0.0828567510470748,comedy
The Fosters,SHOW,"Stef Foster, a dedicated police officer, and her partner Lena Adams, a school vice principal, have built a close-knit, loving family with Stef's biological son from a previous marriage, Brandon, and their adopted twins, Mariana and Jesus. Their lives are disrupted in unexpected ways when Lena meets Callie, a hardened teen with an abusive past who has spent her life in and out of foster homes. Lena and Stef welcome Callie and her brother, Jude, into their home thinking it's just for a few weeks, until a more permanent placement can be found. But life has something else in store for the Fosters.",2013,TV-14,42,"['drama', 'romance']",['US'],5,7.9,27588,51.604,7.839999999999999,"['drama', 'romance']",2.0,1.0,7.869999999999999,0.060000000000001386,0.7809468902141508,0.5545224005796812,0.746031934058644,14.2,121,600,3.1,2,11,0.01784682273864746,0.09059218689799309,drama
Witches of East End,SHOW,"The adventures of Joanna Beauchamp and her two adult daughters Freya and Ingrid -- both of whom unknowingly are their family's next generation of witches -- who lead seemingly quiet, uneventful modern day lives in Long Island's secluded seaside town of East Haven. When Freya becomes engaged to a young, wealthy newcomer, a series of events forces Joanna to admit to her daughters they are, in fact, powerful and immortal witches.",2013,TV-MA,42,"['comedy', 'drama', 'fantasy', 'horror', 'scifi']",['US'],2,7.6,25793,15.878,7.839999999999999,"['fantasy', 'scifi']",5.0,1.0,7.719999999999999,-0.23999999999999932,0.7693806822230074,0.5545224005796812,0.40979224986209767,20.4,80,430,-0.7,4,19,0.0736561119556427,-0.21229314804077148,comedy
Somm,MOVIE,"Somm takes the viewer on a humorous, emotional and illuminating look into the mysterious world of the Court of Master Sommeliers and their massively intimidating Master Sommelier Exam.",2013,,93,['documentation'],['US'],,7.0,4712,5.472,7.3,['documentation'],1.0,1.0,7.15,-0.2999999999999998,0.8829181764295086,0.5545224005796812,0.822958683101231,19.0,30,184,-2.2,1,4,0.2597208693623543,-0.03549923002719879,documentation
How I Live Now,MOVIE,An American girl on holiday in the English countryside with her family finds herself in hiding and fighting for her survival as war breaks out.,2013,R,101,"['action', 'drama', 'romance', 'scifi', 'thriller', 'war']",['GB'],,6.4,30034,12.317,6.9399999999999995,"['drama', 'thriller']",6.0,1.0,6.67,-0.5399999999999991,0.7862806972687825,0.9307862760908432,0.5013732884313458,13.5,26,143,-6.6,4,14,-0.7718749339692295,-0.002085462212562561,action
Murder in the First,SHOW,Murder in the First follows homicide detectives Terry English and Hildy Mulligan as they investigate a multitude of tragedies in San Francisco.,2014,TV-MA,43,"['crime', 'drama']",['US'],3,7.3,7152,17.31,6.130000000000001,"['crime', 'drama']",2.0,1.0,6.715,1.169999999999999,0.797275206562767,0.5545224005796812,0.61219025285846,15.7,23,143,-0.7,4,19,-0.39041892625391483,-0.44403756223618984,crime
The Two Faces of January,MOVIE,"A thriller centered on a con artist, his wife, and a stranger who try to flee a foreign country after one of them is caught up in the murder of a private detective.",2014,PG-13,96,"['romance', 'thriller']","['FR', 'GB', 'US']",,6.2,31386,11.326,6.22,"['romance', 'thriller']",2.0,3.0,6.21,-0.019999999999999574,0.8366032669550738,0.8021754737205106,0.3342529505163202,13.9,36,164,-0.2,5,24,-0.5098136281594634,0.008318677544593811,romance
Date a Live,SHOW,"Thirty years ago a strange phenomenon called a ""spacequake"" devastated the center of Eurasia, claiming the lives of at least 150 million people. Since then, smaller spacequakes plague the world on an irregular basis. Shido Itsuka, a seemingly ordinary high schooler comes across a mysterious girl at the ground zero of a spacequake and learns she is one of the ""Spirits"" who are the real cause of the spacequakes that occur when they manifest themselves in the world. He is recruited to make use of his mysterious ability to seal the Spirits' powers thus stopping them from being a threat to mankind. However, there is a catch: to seal a Spirit's power, he must make her fall in love with him and kiss him.",2013,TV-14,24,"['action', 'animation', 'comedy', 'fantasy', 'romance', 'scifi', 'thriller']",['JP'],4,6.9,3022,85.503,8.83,"['fantasy', 'scifi']",7.0,1.0,7.865,-1.9299999999999997,0.7305949476411926,0.9276483709208561,0.6121902508581519,13.1,141,706,-5.9,3,11,-0.20377271622419357,0.01140490174293518,action
Trophy Wife,SHOW,"The third time's the charm, they say, and reformed party girl Kate is hoping that's true when she becomes the third wife of a slightly older man, Pete. They fell into each others' arms (literally) at a karaoke bar, and flash forward a year later, Kate finds herself with an instafamily complete with three stepchildren and two ex-wives. But Kate is determined to make this work and become a part of the family no matter what.",2013,TV-PG,22,['comedy'],['US'],1,6.9,6846,8.047,6.76,['comedy'],1.0,1.0,6.83,0.14000000000000057,0.7743576575786824,0.5545224005796812,0.5541555499924848,12.9,89,425,3.1,2,11,0.6808967189863324,-0.03454907238483429,comedy
Bachelor in Paradise,SHOW,"Some of The Bachelor's biggest stars and villains are back. They all left The Bachelor or The Bachelorette with broken hearts, but now they know what it really takes to find love, and on Bachelor in Paradise they'll get a second chance to find their soul mates. Contestants live together in an isolated romantic paradise in Mexico and we follow these former bachelors and bachelorettes as they explore new romantic relationships.",2014,TV-14,79,"['reality', 'romance']",['US'],7,5.2,1708,10.852,5.5,"['reality', 'romance']",2.0,1.0,5.35,-0.2999999999999998,0.898640470142253,0.5545224005796812,0.5013732887940477,14.2,78,429,8.3,3,20,0.23158996552228928,0.19280124828219414,reality
The Congress,MOVIE,"An aging, out-of-work actress accepts one last job, though the consequences of her decision affect her in ways she didn't consider.",2013,,122,"['animation', 'drama', 'european', 'history', 'scifi']","['BE', 'DE', 'FR', 'IL', 'IN', 'LU', 'PL', 'US']",,6.4,18588,8.422,6.76,"['drama', 'history']",5.0,8.0,6.58,-0.35999999999999943,0.8389360763434753,0.9091592637873273,0.7460319345736955,14.0,25,131,5.5,2,12,-0.3395341672003269,-0.2827460616827011,animation
Beautiful Creatures,MOVIE,"Ethan Wate just wants to get to know Lena Duchannes better, but unbeknownst to him, Lena has strange powers.  As Lena's 16th birthday approaches she might decide her fate, to be good or evil.  A choice which will impact her relationship forever.",2013,PG-13,124,"['drama', 'european', 'fantasy', 'romance']",['US'],,6.1,87271,18.571,6.4,"['fantasy', 'romance']",4.0,1.0,6.25,-0.3000000000000007,0.8068626184607547,0.5545224005796812,0.45339074739881013,8.2,49,245,22.0,2,19,-0.11789549142122269,0.9275613171048462,drama
Mr. Pickles,SHOW,"The Goodman family lives with their lovable pet dog, Mr. Pickles, a deviant border collie with a secret satanic streak.",2014,TV-MA,11,"['animation', 'comedy', 'horror']",['US'],4,7.3,8489,36.385,8.379999999999999,"['animation', 'comedy']",3.0,1.0,7.84,-1.0799999999999992,0.8322048127764774,0.5545224005796812,0.6121902510308811,7.1,23,119,3.1,2,11,-0.01791377365589142,0.14999031275510788,animation
Pokémon the Series: XY,SHOW,"Ash Ketchum continues his journey on to the Kalos region, and makes new friends such as Serena a childhood friend he known since he was a kid in Pallet town, Clemont, a gym leader and an inventor and Clemont's sister Bonnie, a little girl who has to take care of her big brother.",2013,TV-Y7,21,"['action', 'animation', 'comedy', 'family', 'fantasy']",['JP'],3,7.5,41528,0.6,10.0,"['animation', 'family']",5.0,1.0,8.75,-2.5,0.7847402290588847,0.9276483709208561,0.30164126310027795,25.2,59,279,2.9,5,22,0.37647365452721715,0.014883976429700851,action
Devious Maids,SHOW,"The series centers on four Latina maids working in the homes of Beverly Hills’ wealthiest and most powerful families, and a newcomer who made it personal after a maid was murdered and determined to uncover the truth behind her demise, and in the process become an ally in their lives.",2013,TV-14,43,"['comedy', 'drama']",['US'],4,7.8,23488,27.95,7.39,"['comedy', 'drama']",2.0,1.0,7.595,0.41000000000000014,0.676586758987894,0.5545224005796812,0.5541555496544135,25.7,54,284,7.8,2,13,0.11788361147046089,-0.285386610776186,comedy
Prey,SHOW,"Three-part crime thriller. When detective Marcus Farrow looks into a seemingly forgotten case, he has no idea of the chaos and heartache that will soon follow. He is found at the scene of a murder, and with all the evidence pointing towards him, he is arrested and charged.",2014,TV-MA,46,"['crime', 'drama', 'thriller']",['GB'],2,7.2,3194,7.003,7.21,"['crime', 'thriller']",3.0,1.0,7.205,-0.009999999999999787,0.7679725144819248,0.9307862760908432,0.999999998546287,8.8,54,273,-2.2,1,4,-0.7012833915650845,-0.03375782072544098,crime
Tyrant,SHOW,"The story of an unassuming American family drawn into the workings of a turbulent Middle Eastern nation. Bassam ""Barry"" Al Fayeed, the younger son of the dictator of a war-torn nation, ends a self-imposed 20-year exile to return to his homeland, accompanied by his American wife and children, for his nephew's wedding. Barry’s reluctant homecoming leads to a dramatic clash of cultures as he is thrown back into the familial and national politics of his youth.",2014,TV-MA,49,"['action', 'drama', 'thriller', 'war']",['US'],3,7.8,22712,22.429,7.03,"['drama', 'war']",4.0,1.0,7.415,0.7699999999999996,0.8282546125823744,0.5545224005796812,0.7460319357311278,15.1,88,460,7.3,1,6,-0.3959855027496815,-0.05371084064245224,action
Suburban Gothic,MOVIE,"An awkward, unemployed man who can talk to the dead teams up with a rebellious bartender to find the vengeful ghost that's been terrorizing their town.",2014,R,90,"['comedy', 'horror']",['US'],,5.6,4684,8.108,5.95,"['comedy', 'horror']",2.0,1.0,5.775,-0.35000000000000053,0.846641440719266,0.5545224005796812,0.4533907469713289,14.4,29,151,12.5,2,15,-0.6601847913116217,-0.3836899884045124,comedy
Bring It!,SHOW,"A spotlight on the elite world of hip-hop majorette competitions. Coach Dianna Williams (aka ""Miss D"") and her Dancing Dolls troupe refuse to lose, pushing themselves to the limit each week in the relentless pursuit of victory. Every pump, thrust and high kick on ""Bring It!"" highlights the triumphs and struggles of intense competition, where errors aren't tolerated, mediocrity isn’t excused and only a win is acceptable.",2014,TV-PG,42,"['drama', 'music', 'reality']",['US'],6,6.6,531,4.184,9.1,"['drama', 'reality']",3.0,1.0,7.85,-2.5,0.8816869107677471,0.5545224005796812,0.6759702667807184,12.0,84,423,-1.7,3,9,0.7810479262843728,0.7078855643048882,drama
Earth to Echo,MOVIE,"After a construction project begins digging in their neighbourhood, best friends Tuck, Munch and Alex inexplicably begin to receive strange, encoded messages on their cell phones. Convinced something bigger is going on, they go to their parents and the authorities. The three embark on a secret adventure to crack the code and follow it to its source, and discover a mysterious being from another world who desperately needs their help. The journey that follows will change all their lives forever.",2014,PG,89,"['action', 'family', 'scifi']",['US'],,5.7,18988,10.102,6.3100000000000005,"['action', 'scifi']",3.0,1.0,6.005000000000001,-0.6100000000000003,0.8642446291565786,0.5545224005796812,0.5013732900303449,13.3,89,498,-2.7,3,13,0.23705878853797913,0.054636143147945404,action
The Angriest Man in Brooklyn,MOVIE,"After learning that a brain aneurysm will kill him in about 90 minutes, a perpetually unhappy man struggles to come to terms with his fate and make amends with everyone he has ever hurt.",2014,R,84,"['comedy', 'drama']",['US'],,5.7,22274,10.35,6.130000000000001,"['comedy', 'drama']",2.0,1.0,5.915000000000001,-0.4300000000000006,0.676586758987894,0.5545224005796812,0.2209761691896016,16.8,36,186,3.7,5,28,-0.9315123490523547,-0.5837836973369122,comedy
Noragami,SHOW,"Hiyori Iki is a normal middle school student until she was involved in a bus accident while trying to protect a stranger. This incident causes her soul to frequently slip out of her body, and she becomes aware of the existence of two parallel worlds. Through her soul, she meets the strange, nameless god without a shrine, Yato. Yato is determined to make a name for himself out there by accepting any wishes for 5 yen, including Hiyori's to fix her body.",2014,TV-14,24,"['action', 'animation', 'comedy', 'family', 'fantasy', 'scifi']",['JP'],2,7.9,14764,36.265,8.65,"['family', 'scifi']",6.0,1.0,8.275,-0.75,0.7764146668972967,0.9276483709208561,0.7460319341408601,10.3,92,455,16.8,1,8,0.025078341364860535,-0.02544906735420227,action
Graceland,SHOW,"In Southern California, a beachfront property was seized and turned into a residence for undercover cops. They are all top agents of the DEA, FBI, and Customs and they are living in this house unofficially known as ""Graceland"". Coming of a new graduating at the top of his class, FBI rookie, Mike Warren, could make the life of a legendary FBI agent Paul Briggs and the others, more complicated or it could reveal the truth. It is based upon actual events.",2013,TV-14,44,"['action', 'crime', 'drama']",['US'],3,7.6,16880,18.226,7.57,"['action', 'drama']",3.0,1.0,7.585,0.02999999999999936,0.7770610389977889,0.5545224005796812,0.6759702644476393,10.5,94,456,21.5,1,9,-0.0995202288031578,0.07731513679027557,action
White Bird in a Blizzard,MOVIE,"Kat Connors is a 17-year-old when her perfect homemaker mother, Eve, disappears. Having lived for so long in an emotionally repressed household, she barely registers her mother's absence and certainly doesn't blame her doormat of a father, Brock, for the loss. But as time passes, Kat begins to come to grips with how deeply Eve's disappearance has affected her.",2014,R,91,"['drama', 'european', 'thriller']","['FR', 'US']",,6.4,28260,8.467,6.58,"['drama', 'thriller']",3.0,2.0,6.49,-0.17999999999999972,0.8115540185970348,0.8034206376663293,0.24526100297162814,12.7,71,362,-0.2,5,24,-0.42363495752215385,0.02548157423734665,drama
Late Night with Seth Meyers,SHOW,"Seth Meyers, who is ""Saturday Night Live’s"" longest serving anchor on the show’s wildly popular ""Weekend Update,"" takes over as host of NBC’s ""Late Night"" — home to A-list celebrity guests, memorable comedy and the best in musical talent. As the Emmy Award-winning head writer for ""SNL,"" Meyers has established a reputation for sharp wit and perfectly timed comedy, and has gained fame for his spot-on jokes and satire. Meyers takes his departure from ""SNL"" to his new post at ""Late Night,"" as Jimmy Fallon moves to ""The Tonight Show"".",2014,TV-14,44,['comedy'],['US'],9,6.1,7241,251.321,5.77,['comedy'],1.0,1.0,5.935,0.33000000000000007,0.7743576575786824,0.5545224005796812,0.22097616740841491,17.0,119,535,2.7,5,27,0.8896607888163999,0.15544726606458426,comedy
Yona of the Dawn,SHOW,"The legend of the Four Dragons and the origin of the land has been passed down for generations in the land of Kouka. Currently, Hiryuu Palace has no one else next in line for the throne other than the fifteen year old princess, Yona, who had been raised with care.

Finally, the night of her sixteenth birthday arrives. She expects it to be a wonderful day spent with her peace-loving father, Il, her servant and friend Hak, and her cousin Soo-won, who she had feelings for... However... That night, Yona goes to visit her father to tell him how she really feels, because he opposes to her getting married to Soo-won. However, when she gets to her room, she encounters a shocking truth. The destinies of Yona and the Four Dragons entwine in this period drama fantasy romance!",2014,TV-14,23,"['action', 'animation', 'comedy', 'drama', 'fantasy', 'romance', 'scifi']",['JP'],1,8.0,3827,30.963,8.83,"['animation', 'scifi']",7.0,1.0,8.415,-0.8300000000000001,0.7074484838367513,0.9276483709208561,0.5541555501283324,10.2,158,777,-4.2,4,16,0.4432941935956478,0.05691516399383545,action
Danganronpa: The Animation,SHOW,"Being just a normal student without a special talent, Makoto Naegi wins a lottery to attend the prestigious Hope's Peak Academy where only the top prodigies attend. However, instead of this being the beginning of a wonderful high school life, it's a ticket to despair, because the only way to graduate from Hope's Peak Academy is to kill one of your fellow students or be one of their victims.",2013,TV-14,24,"['action', 'animation', 'crime', 'drama', 'thriller']",['JP'],2,6.8,2432,23.855,8.29,"['action', 'drama']",5.0,1.0,7.545,-1.4899999999999993,0.7466734532839381,0.9276483709208561,0.4533907456805064,18.0,78,393,17.8,4,26,-0.5676438435912132,-0.011477246880531311,action
