title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,normalized_tmdb_score,top_genres,genres_count,production_countries_count,average_score,score_difference,genres_uniqueness,production_countries_uniqueness,title_uniqueness_norm,description_ari,description_word_count,description_character_count,title_ari,title_word_count,title_character_count,description_sentiment,title_sentiment,top_one_genre
Peter Rabbit 2: The Runaway,MOVIE,"Peter Rabbit runs away from his human family when he learns they are going to portray him in a bad light in their book. Soon, he crosses paths with an older rabbit who ropes him into a heist.",2021,PG,93,"['action', 'animation', 'comedy', 'crime', 'drama', 'family', 'fantasy']","['AU', 'US']",,6.2,11233,130.318,7.4799999999999995,"['action', 'fantasy']",7.0,2.0,6.84,-1.2799999999999994,0.7151009423843313,0.842084279138372,0.2209761697316029,7.1,41,191,2.7,6,27,-0.547324288636446,0.17764481902122498,action
Change Days,SHOW,Struggling real-life couples date each other's partners to decide who to leave with: the same person they walked in with or someone new.,2021,TV-PG,64,['reality'],['KR'],2,,,13.24,5.5,['reality'],1.0,1.0,5.5,,0.9555180933659505,0.9686905083549058,0.6759702649895935,13.4,26,136,3.1,2,11,-0.12945499643683434,0.027693897485733032,reality
Vampire in the Garden,SHOW,"Once, vampires and humans lived in harmony. Now, a young girl and a vampire queen will search for that Paradise once again. In the divided world of the future, two girls want to do the forbidden: the human wants to play the violin, and the vampire wants to see a wider world.",2022,TV-14,26,"['action', 'animation', 'drama', 'fantasy', 'scifi', 'thriller']",['JP'],1,6.7,848,7.973,8.02,"['drama', 'scifi']",6.0,1.0,7.359999999999999,-1.3199999999999994,0.7599205311223641,0.9276483709208561,0.4097922492020321,7.5,60,275,1.8,4,21,0.03299379348754883,-0.09956621378660202,action
Ginny & Georgia,SHOW,"Angsty and awkward fifteen year old Ginny Miller often feels more mature than her thirty year old mother, the irresistible and dynamic Georgia Miller. After years on the run, Georgia desperately wants to put down roots in picturesque New England and give her family something they've never had... a normal life. But it's not all carpool and Kombucha as Georgia's past threatens her and her family's new way of life... and Georgia will do anything to protect her family.",2021,TV-14,54,"['comedy', 'drama']",['US'],1,7.4,46343,71.27,8.29,"['comedy', 'drama']",2.0,1.0,7.845,-0.8899999999999988,0.676586758987894,0.5545224005796812,0.5013732895907608,9.8,90,469,10.2,3,15,-0.1405010223388672,0.08038827031850815,comedy
Beast,MOVIE,"A former RAW officer, who is among the hostages in a mall taken over by terrorists, has to foil their plans and prevent the government from releasing a dreaded terrorist, who he had helped put in prison at great personal cost.",2022,,162,"['action', 'comedy', 'crime', 'thriller']",['IN'],,5.2,30369,15.358,6.67,"['action', 'thriller']",4.0,1.0,5.9350000000000005,-1.4699999999999998,0.7444297936248713,0.9216856422869464,0.8229586854757874,20.5,45,226,2.6,1,5,-0.7216699793934822,-0.38527748733758926,action
The Last Letter From Your Lover,MOVIE,A young journalist in London becomes obsessed with a series of letters she discovers that recounts an intense star-crossed love affair from the 1960s.,2021,,109,"['drama', 'romance']","['CA', 'GB']",,6.6,17099,26.67,7.75,"['drama', 'romance']",2.0,2.0,7.175,-1.1500000000000004,0.7809468902141508,0.9273160868573469,0.17908600186285994,15.5,25,150,2.0,6,31,-0.08891074359416962,0.017218217253684998,drama
Conversations with a Killer: The John Wayne Gacy Tapes,SHOW,He dined with the powerful. He preyed on the vulnerable. Beneath a smiling exterior was the horrifying darkness of a sadistic serial killer.,2022,TV-MA,61,"['crime', 'documentation']",['US'],1,7.1,6665,94.08,7.660000000000001,"['crime', 'documentation']",2.0,1.0,7.380000000000001,-0.5600000000000014,0.8476605778130256,0.5545224005796812,0.3016412648535831,6.6,26,140,7.1,10,54,-0.844273816794157,-0.15549916215240955,crime
Catching Killers,SHOW,"The investigators behind infamous serial killer cases reveal the harrowing, chilling details of their extraordinary efforts in this true crime series.",2021,TV-MA,41,"['crime', 'documentation']",['US'],2,7.1,3250,12.506,7.3,"['crime', 'documentation']",2.0,1.0,7.199999999999999,-0.20000000000000018,0.8476605778130256,0.5545224005796812,0.554155549389036,18.2,23,150,14.9,2,16,-0.1503409445285797,-0.0833262987434864,crime
Chosen,SHOW,A 17-year-old girl's world is turned upside down when she and her friends make a disturbing discovery in their quiet Danish town.,2022,TV-MA,41,"['drama', 'scifi', 'thriller']",['DK'],1,4.3,1246,7.199,6.9256,"['drama', 'scifi']",3.0,1.0,5.6128,-2.6256000000000004,0.7923188911799987,0.995170793757847,0.9999999992468711,12.7,24,129,7.3,1,6,-0.8273808443918824,0.003083467483520508,drama
Final Account,MOVIE,A depiction of the last living generation of German participants in Adolf Hitler’s Third Reich.,2021,PG-13,94,['documentation'],"['GB', 'US']",,7.1,1042,3.38,7.39,['documentation'],1.0,2.0,7.244999999999999,-0.29000000000000004,0.8829181764295086,0.7422619687202474,0.6121902530388937,11.5,18,95,7.8,2,13,-0.541541550308466,-0.027379773557186127,documentation
