title,release_year,age_certification,runtime,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,top_genres,average_score
Ugly Delicious,2018,TV-MA,51,['US'],2.0,7.8,3539.0,4.452,['documentation'],7.73
Girlboss,2017,TV-MA,27,['US'],1.0,6.9,17848.0,10.009,['comedy'],6.965
Because This Is My First Life,2017,TV-14,69,['KR'],1.0,8.1,4656.0,17.121,"['comedy', 'drama']",8.419999999999998
Just Between Lovers,2017,TV-14,73,['KR'],1.0,8.2,1979.0,20.502,"['drama', 'romance']",8.29
The Innocents,2018,TV-MA,46,['GB'],2.0,6.2,5804.0,20.691,"['drama', 'scifi']",6.345000000000001
Bill Nye Saves the World,2017,TV-14,32,['US'],3.0,3.5,7233.0,8.356,['comedy'],3.915
I Am a Killer,2018,TV-MA,50,['GB'],3.0,7.4,3977.0,5.641,"['crime', 'documentation']",7.439999999999999
Suburra: Blood on Rome,2017,TV-MA,48,['IT'],3.0,7.9,14528.0,23.46,"['action', 'drama']",7.808350000000001
Tabula Rasa,2017,TV-MA,52,['BE'],1.0,8.0,10233.0,7.903,"['drama', 'horror']",8.01
Spirit: Riding Free,2017,TV-Y7,23,['US'],11.0,6.4,1012.0,15.689,"['action', 'animation']",7.435
Little Witch Academia,2017,TV-PG,25,['JP'],1.0,7.9,3147.0,13.06,"['animation', 'scifi']",8.185
The Good Cop,2018,TV-PG,46,['US'],1.0,6.9,5732.0,8.714,"['comedy', 'drama']",6.83
The Protector,2018,TV-MA,44,['TR'],4.0,6.5,34629.0,24.058,"['action', 'fantasy']",7.035
Pop Team Epic,2018,TV-MA,23,['JP'],2.0,6.9,844.0,7.074,"['animation', 'comedy']",7.235
Voice,2017,TV-14,63,['KR'],4.0,7.6,1994.0,17.025,"['crime', 'thriller']",7.404999999999999
Patriot Act with Hasan Minhaj,2018,TV-MA,25,['US'],6.0,8.2,7327.0,9.203,['comedy'],7.885
The Epic Tales of Captain Underpants,2018,TV-Y7,24,['US'],4.0,6.6,931.0,11.851,"['animation', 'comedy']",7.625
The Mire,2018,TV-MA,54,['PL'],2.0,7.0,4355.0,13.039,"['crime', 'drama']",7.06
Rotten,2018,TV-MA,56,['US'],2.0,7.2,3716.0,6.812,['documentation'],7.430000000000001
Murder Mountain,2018,TV-MA,43,['US'],1.0,6.8,3134.0,2.589,"['crime', 'documentation']",7.005
Scissor Seven,2018,TV-PG,16,['CN'],3.0,8.6,311.0,82.499,"['comedy', 'drama']",8.805
Alexa & Katie,2018,TV-Y7,25,['US'],4.0,7.4,4885.0,32.166,"['comedy', 'drama']",7.935
Chip and Potato,2018,TV-Y,17,['US'],3.0,6.3,158.0,8.971,['animation'],8.06
Girl from Nowhere,2018,TV-MA,44,['TH'],2.0,7.6,4201.0,45.88,"['drama', 'thriller']",8.125
The House of Flowers,2018,TV-MA,31,['MX'],3.0,7.6,7813.0,31.664,"['comedy', 'drama']",7.81
The Magic School Bus Rides Again,2017,TV-Y,25,['US'],3.0,6.2,825.0,10.885,"['animation', 'family']",6.4350000000000005
The Worst Witch,2017,TV-Y7,28,['GB'],4.0,7.2,2437.0,49.402,"['family', 'scifi']",7.564999999999999
Dogs,2018,TV-PG,50,['US'],2.0,8.0,1282.0,3.54,"['documentation', 'reality']",8.235
Magic for Humans,2018,TV-14,23,['US'],3.0,7.1,3346.0,6.964,"['comedy', 'reality']",7.065
QB1: Beyond the Lights,2017,TV-14,32,['US'],3.0,7.7,905.0,2.01,"['drama', 'reality']",7.5
Black Earth Rising,2018,TV-MA,59,['GB'],1.0,7.4,4917.0,5.831,"['crime', 'drama']",7.395
7 Days Out,2018,TV-PG,47,['US'],1.0,6.7,544.0,0.663,['documentation'],7.9
Welcome to the Family,2018,TV-MA,48,['ES'],2.0,6.6,455.0,5.935,['comedy'],7.130000000000001
3Below: Tales of Arcadia,2018,TV-Y7,22,['US'],2.0,7.7,6158.0,27.194,"['action', 'scifi']",7.814999999999999
A Love So Beautiful,2017,TV-14,41,['CN'],1.0,8.0,1420.0,42.708,"['comedy', 'romance']",8.280000000000001
Millennials,2018,TV-MA,35,['AR'],3.0,,,2.503,['drama'],8.65
Cathedral of the Sea,2018,TV-MA,57,['ES'],1.0,7.4,4450.0,13.03,"['drama', 'history']",7.395
Signs,2018,TV-MA,46,['PL'],2.0,6.3,1676.0,8.337,"['crime', 'thriller']",6.8
Bonus Family,2017,,44,['SE'],4.0,2.9,16.0,11.3,"['comedy', 'drama']",5.235
Nicky Jam: El Ganador,2018,,44,['PR'],1.0,7.7,1151.0,27.568,"['drama', 'music']",7.635
Black,2017,TV-MA,78,['KR'],2.0,7.9,3891.0,39.083,"['drama', 'scifi']",8.05
She's Gotta Have It,2017,TV-MA,35,['US'],2.0,6.7,4695.0,6.031,['comedy'],6.82
Borderliner,2017,TV-MA,49,['NO'],1.0,6.7,4096.0,7.204,"['documentation', 'drama']",6.73
Camarón Revolution,2018,TV-14,52,['ES'],1.0,,,1.29,"['documentation', 'reality']",7.3
Memories of the Alhambra,2018,TV-MA,65,['KR'],1.0,7.8,5537.0,12.047,"['drama', 'scifi']",7.955
Chosen,2018,TV-14,71,['CN'],2.0,5.2,127.0,1.566,['action'],6.025
The Royal House of Windsor,2017,TV-14,49,['GB'],1.0,7.3,1574.0,4.357,"['documentation', 'history']",7.48
The Confession Tapes,2017,TV-MA,45,['US'],2.0,7.5,5358.0,3.917,"['crime', 'documentation']",7.58
Ad Vitam,2018,TV-MA,52,['FR'],1.0,6.4,1671.0,5.334,"['crime', 'scifi']",6.3100000000000005
Free Rein,2017,TV-G,28,['US'],3.0,7.0,2110.0,31.038,"['action', 'comedy']",7.51
The Indian Detective,2017,,43,['CA'],1.0,6.5,3123.0,4.954,"['comedy', 'crime']",6.675
Sacred Games,2018,TV-MA,50,['IN'],2.0,8.5,86279.0,14.613,"['action', 'drama']",8.395
The Queen of Flow,2018,TV-MA,45,['CO'],2.0,7.7,1247.0,257.952,"['drama', 'family']",7.949999999999999
Dogs of Berlin,2018,TV-MA,60,['DE'],1.0,7.5,12617.0,10.83,"['crime', 'drama']",7.58
Meteor Garden,2018,TV-14,45,['CN'],1.0,7.9,4033.0,52.891,"['drama', 'romance']",8.275
Shot in the Dark,2017,TV-MA,37,['US'],1.0,8.0,1795.0,1.638,"['documentation', 'reality']",8.055
Rainbow Rangers,2018,TV-Y,22,['US'],2.0,4.4,195.0,1.499,"['animation', 'family']",7.2
Unsolved: The Murders of Tupac and The Notorious B.I.G.,2018,TV-MA,45,['US'],1.0,7.8,7872.0,13.329,['crime'],7.55
Daniel Sloss: Live Shows,2018,TV-MA,60,['US'],1.0,8.5,3443.0,1.694,['comedy'],8.44
The Beauty Inside,2018,TV-14,59,['KR'],1.0,7.6,2019.0,26.875,"['comedy', 'drama']",7.989999999999999
Cry Babies Magic Tears,2018,TV-Y,4,['FR'],2.0,5.2,43.0,3.304,"['animation', 'family']",6.34
Love Daily,2018,,18,['US'],1.0,6.1,157.0,4.281,"['drama', 'romance']",7.105
The Mechanism,2018,TV-MA,46,['BR'],2.0,8.0,36136.0,8.383,"['crime', 'drama']",7.83
Thus Spoke Kishibe Rohan,2017,TV-MA,24,['JP'],1.0,7.5,1222.0,2.695,"['action', 'scifi']",8.3
Welcome to Waikiki,2018,TV-MA,64,['KR'],3.0,8.3,2195.0,26.059,"['comedy', 'drama']",8.52
Thieves of the Wood,2018,TV-MA,48,['BE'],1.0,6.8,2629.0,12.035,"['drama', 'history']",6.779999999999999
Blood Pact,2018,,60,['BR'],1.0,6.7,143.0,0.907,"['crime', 'drama']",7.0
Final Fantasy XIV: Dad of Light,2017,TV-PG,30,['JP'],1.0,7.2,604.0,2.953,['drama'],7.430000000000001
Fate/Apocrypha,2017,TV-14,24,['JP'],1.0,6.6,2299.0,17.023,"['action', 'scifi']",7.265
Greenhouse Academy,2017,TV-PG,23,['US'],4.0,6.6,6133.0,16.244,['drama'],7.444999999999999
Champions,2018,TV-PG,21,['US'],1.0,6.0,3890.0,4.61,['comedy'],5.975
Cleo & Cuquin,2018,TV-Y,7,['ES'],2.0,8.1,98.0,2.076,"['animation', 'family']",8.285
November 13: Attack on Paris,2018,TV-MA,54,['FR'],1.0,8.3,3137.0,4.169,['documentation'],8.34
SKY Castle,2018,TV-MA,68,['KR'],1.0,8.6,2925.0,11.683,['drama'],8.535
Man Like Mobeen,2017,TV-MA,22,['GB'],3.0,8.0,2737.0,1.977,['comedy'],7.515000000000001
Life Sentence,2018,TV-14,42,['US'],1.0,6.4,3899.0,7.925,"['comedy', 'drama']",6.625
Ingobernable,2017,TV-MA,39,['MX'],3.0,7.0,3116.0,13.874,"['crime', 'war']",6.925
Eternal Love,2017,TV-14,45,['CN'],1.0,8.3,2339.0,20.099,"['drama', 'scifi']",8.16
Ashes of Love,2018,TV-14,43,['CN'],1.0,8.3,1963.0,17.576,"['comedy', 'drama']",8.52
Lawless Lawyer,2018,TV-14,64,['KR'],1.0,7.6,1785.0,18.479,"['action', 'crime']",7.719999999999999
Cyborg 009: Call of Justice,2017,,24,['JP'],1.0,5.7,222.0,4.999,"['animation', 'scifi']",6.59
Gormiti,2018,TV-Y,11,"['ES', 'IT']",4.0,5.2,113.0,4.851,"['action', 'comedy']",7.24
The A List,2018,TV-PG,27,['GB'],2.0,5.3,2904.0,11.645,"['drama', 'thriller']",6.2118
Beyblade Burst Turbo,2018,TV-Y7,22,['JP'],1.0,,,0.6,"['action', 'scifi']",1.45
The Curious Creations of Christine McConnell,2018,TV-PG,27,['US'],1.0,7.7,2397.0,3.175,"['comedy', 'reality']",7.635
Clean with Passion for Now,2018,TV-MA,60,['KR'],1.0,6.9,1472.0,25.757,"['comedy', 'drama']",7.595
GHOUL,2018,TV-MA,46,['IN'],2.0,8.0,6.0,16.66,"['drama', 'scifi']",7.605
Kiss Me First,2018,TV-MA,47,['GB'],1.0,6.2,3919.0,5.447,"['scifi', 'thriller']",6.705
Barbie: Dreamhouse Adventures,2018,TV-Y,22,['US'],5.0,6.7,543.0,36.15,"['animation', 'comedy']",7.539999999999999
Diablero,2018,TV-MA,38,['MX'],2.0,6.7,2568.0,19.915,"['horror', 'scifi']",7.225
Erased,2017,TV-14,28,['JP'],1.0,7.8,3671.0,9.747,"['drama', 'thriller']",7.73
Instant Hotel,2018,TV-MA,49,['AU'],2.0,7.3,1538.0,1.602,['reality'],7.345
Monkey Twins,2018,,49,['TH'],1.0,7.9,95.0,0.99,"['action', 'crime']",7.15
A Korean Odyssey,2017,TV-MA,75,['KR'],1.0,8.0,4695.0,29.703,"['comedy', 'thriller']",8.19
Power Rangers Ninja Steel,2017,TV-Y7,24,['US'],2.0,5.8,890.0,3.907,"['action', 'scifi']",6.6850000000000005
Warrior,2018,TV-MA,42,['DK'],1.0,6.7,2010.0,5.717,"['action', 'drama']",6.775
Life,2018,,65,['KR'],1.0,7.6,719.0,6.26,"['drama', 'thriller']",7.899999999999999
Something in the Rain,2018,TV-MA,73,['KR'],1.0,8.1,6208.0,53.569,"['drama', 'romance']",8.105
13 Reasons Why: Beyond the Reasons,2017,TV-MA,42,['US'],3.0,6.2,328.0,11.431,['documentation'],6.525
Julie's Greenroom,2017,,28,['US'],1.0,8.2,328.0,2.76,"['comedy', 'family']",8.425
Prison Playbook,2017,,92,['KR'],1.0,8.5,3247.0,17.608,"['comedy', 'drama']",8.62
Brainchild,2018,TV-Y7,24,['US'],1.0,7.9,425.0,2.902,"['documentation', 'family']",8.185
Apaches,2018,TV-MA,68,['ES'],1.0,7.0,301.0,3.001,"['action', 'crime']",7.105
Revolutionary Love,2017,TV-MA,68,['KR'],1.0,6.9,677.0,6.098,"['comedy', 'romance']",7.819999999999999
Dope,2017,TV-MA,44,['US'],3.0,7.3,1658.0,15.736,"['crime', 'documentation']",7.39
Neo Yokio,2017,TV-MA,23,['US'],2.0,5.9,3385.0,4.138,"['action', 'scifi']",5.925000000000001
Crazy Delicious,2017,,52,['GB'],1.0,8.9,15.0,2.694,['reality'],8.325
Marlon,2017,TV-PG,21,['US'],2.0,6.9,4136.0,11.367,['comedy'],6.92
Bumping Mics with Jeff Ross & Dave Attell,2018,TV-MA,36,['US'],1.0,7.7,1167.0,1.36,['comedy'],7.859999999999999
The Fix,2018,TV-MA,27,['US'],1.0,7.0,1957.0,1.555,['comedy'],6.925
Bobby Kennedy for President,2018,TV-MA,61,['US'],1.0,8.1,1803.0,2.09,"['documentation', 'drama']",8.285
The Yard,2018,TV-MA,108,['TR'],3.0,7.1,1647.0,21.505,"['crime', 'drama']",7.425
Familiar Wife,2018,TV-MA,62,['KR'],1.0,7.7,1015.0,19.741,"['drama', 'scifi']",7.994999999999999
Medal of Honor,2018,TV-MA,55,['US'],1.0,8.2,1710.0,7.798,"['documentation', 'war']",8.515
Llama Llama,2018,TV-Y,17,['US'],2.0,6.3,272.0,4.525,"['animation', 'family']",7.16
True and the Rainbow Kingdom,2017,TV-Y,21,['CA'],4.0,7.2,451.0,7.851,"['animation', 'comedy']",8.06
Wolf,2018,TV-MA,75,['TR'],1.0,8.0,7545.0,26.999,"['reality', 'war']",7.695
Back Street Girls -GOKUDOLS-,2018,TV-MA,24,['JP'],1.0,6.7,844.0,10.716,"['animation', 'comedy']",6.73
Ultimate Beastmaster,2017,TV-PG,59,['US'],3.0,7.3,2359.0,5.525,"['action', 'reality']",6.85
The Piano Forest,2018,TV-PG,26,['JP'],2.0,7.2,912.0,10.181,"['comedy', 'drama']",6.755000000000001
Victim Number 8,2018,,54,['ES'],1.0,7.0,2030.0,6.384,"['crime', 'drama']",7.465
Jenni Rivera: Mariposa de Barrio,2017,TV-MA,43,['US'],1.0,7.2,245.0,21.897,['drama'],6.35
Sirius the Jaeger,2018,TV-MA,25,['JP'],1.0,6.7,1942.0,9.177,"['action', 'thriller']",7.27
Kakegurui,2018,TV-MA,25,['JP'],2.0,6.7,1005.0,24.549,"['drama', 'thriller']",7.405000000000001
Ultraviolet,2017,TV-MA,46,['PL'],2.0,6.9,1611.0,5.351,"['crime', 'drama']",7.325
The Final Table,2018,TV-PG,53,['US'],1.0,7.6,4176.0,3.634,['reality'],7.449999999999999
Time: The Kalief Browder Story,2017,TV-MA,43,['US'],1.0,8.4,2687.0,3.445,['documentation'],8.255
Trump: An American Dream,2017,TV-14,55,['GB'],1.0,7.2,4021.0,3.412,"['documentation', 'european']",7.205
The New Legends of Monkey,2018,TV-PG,26,['NZ'],2.0,6.4,4398.0,25.804,"['action', 'scifi']",6.94
Robot Trains,2017,TV-Y7,13,['KR'],3.0,6.2,89.0,1.4,"['action', 'animation']",6.2
Flint Town,2018,TV-MA,42,['US'],1.0,7.8,3713.0,2.166,"['crime', 'documentation']",7.775
Vai Anitta,2018,TV-MA,30,['BR'],2.0,5.5,455.0,1.994,"['documentation', 'reality']",6.31
The Inmate,2018,TV-MA,45,['MX'],1.0,6.9,2714.0,25.554,"['crime', 'drama']",7.1
Death by Magic,2018,TV-14,35,['US'],1.0,6.0,641.0,3.231,['reality'],6.605
The Day I Met El Chapo: The Kate del Castillo Story,2017,TV-MA,55,['MX'],1.0,6.8,1093.0,17.067,['documentation'],6.645
Surviving Escobar - Alias JJ,2017,TV-MA,42,['CO'],1.0,7.7,995.0,106.508,"['crime', 'drama']",7.859999999999999
My Sassy Girl,2017,TV-14,44,['KR'],1.0,6.8,597.0,6.648,"['comedy', 'romance']",7.1850000000000005
Lego Jurassic World: The Secret Exhibit,2018,TV-Y,22,['US'],1.0,6.1,257.0,14.703,"['action', 'comedy']",6.789999999999999
Beyond Stranger Things,2017,TV-14,21,['US'],1.0,7.4,1883.0,98.48,['documentation'],7.575
Samurai Gourmet,2017,,21,['JP'],1.0,8.1,2099.0,5.009,['comedy'],8.105
Mob Psycho 100,2018,,24,['JP'],1.0,5.2,521.0,12.055,"['action', 'scifi']",5.755000000000001
Castle and Castle,2018,TV-MA,54,['NG'],2.0,,,2.336,['drama'],7.479999999999999
Re: Mind,2017,TV-MA,23,['JP'],1.0,4.9,1599.0,3.129,"['drama', 'thriller']",5.605
Becoming Champions,2018,TV-G,51,['US'],1.0,6.7,396.0,1.4,"['documentation', 'sport']",6.550000000000001
Hero Mask,2018,TV-14,25,['JP'],2.0,6.1,675.0,4.779,"['action', 'animation']",6.385
Yummy Mummies,2017,,34,['AU'],2.0,4.0,679.0,2.178,"['comedy', 'reality']",4.885
Live,2018,,61,['KR'],1.0,8.3,1272.0,4.333,"['crime', 'drama']",8.41875
Wild District,2018,TV-MA,45,['CO'],2.0,8.2,1917.0,15.725,"['action', 'drama']",7.975
Selection Day,2018,TV-14,25,['IN'],1.0,7.3,2234.0,5.002,"['comedy', 'drama']",7.569999999999999
Trailer Park Boys: Out of the Park: USA,2017,TV-MA,30,['CA'],1.0,,,1.979,['comedy'],7.75
The Big Family Cooking Showdown,2017,TV-PG,59,['GB'],2.0,7.0,682.0,2.706,"['european', 'reality']",7.33
Edgar Rice Burroughs' Tarzan and Jane,2017,TV-Y7,21,['US'],2.0,4.6,282.0,9.57,"['action', 'animation']",6.355
Falsa identidad,2018,TV-14,43,"['MX', 'US']",2.0,7.0,358.0,206.288,"['action', 'crime']",7.375
44 Cats,2018,TV-Y7,15,['IT'],5.0,6.0,283.0,10.72,"['action', 'animation']",7.28
Strongest Deliveryman,2017,TV-MA,55,['KR'],1.0,7.3,660.0,17.237,"['drama', 'romance']",7.209999999999999
Live Up To Your Name,2017,TV-MA,69,['KR'],1.0,8.0,1265.0,10.393,"['drama', 'fantasy']",7.515000000000001
Ingress: The Animation,2018,TV-MA,24,['JP'],1.0,6.5,534.0,9.173,"['animation', 'scifi']",7.08
Fastest Car,2018,TV-MA,44,['US'],2.0,7.1,1330.0,10.509,"['action', 'reality']",7.289999999999999
Bad Guys: Vile City,2017,,64,['KR'],1.0,5.9,30.0,8.626,"['action', 'comedy']",7.05
The Degenerates,2018,,24,['US'],2.0,6.2,680.0,1.785,['comedy'],5.58
Children of the Whales,2017,TV-14,24,['JP'],1.0,7.0,1551.0,13.257,"['animation', 'scifi']",7.42
The Rise of Phoenixes,2018,TV-14,45,['CN'],1.0,8.4,1492.0,8.456,"['drama', 'romance']",8.344999999999999
Zac & Mia,2017,TV-14,20,['US'],2.0,7.8,628.0,1.741,['drama'],8.0
Abby Hatcher,2018,TV-Y,17,['US'],3.0,5.4,182.0,4.569,"['animation', 'family']",5.0
My Only Love Song,2017,TV-MA,29,['KR'],1.0,7.0,672.0,9.524,"['drama', 'romance']",7.735
ReBoot: The Guardian Code,2018,TV-G,23,['CA'],2.0,3.7,1204.0,4.406,"['drama', 'scifi']",5.59
Secret Agent Selection: WW2,2018,,59,['GB'],1.0,7.7,564.0,2.836,"['documentation', 'war']",7.5
Love and Fortune,2018,TV-MA,58,['JP'],1.0,7.3,555.0,4.984,"['drama', 'romance']",7.074999999999999
Drug Lords,2018,TV-MA,46,['US'],2.0,6.8,1334.0,7.122,['documentation'],7.365
Fate/Extra Last Encore,2018,,27,['JP'],2.0,5.3,807.0,19.38,"['action', 'animation']",6.48
Luis Miguel: The Series,2018,TV-14,52,['MX'],3.0,8.0,4556.0,40.288,"['drama', 'history']",8.1
Busted!,2018,TV-14,75,['KR'],3.0,7.6,912.0,15.136,"['comedy', 'thriller']",8.08
Boca Juniors Confidential,2018,,42,['AR'],1.0,6.3,352.0,1.33,"['documentation', 'sport']",7.069999999999999
Dinotrux: Supercharged,2017,TV-Y7,23,['US'],3.0,7.5,98.0,8.19,"['action', 'animation']",8.48
Inside the Criminal Mind,2018,TV-MA,49,['US'],1.0,5.4,1014.0,2.304,"['crime', 'documentation']",5.945
Sparta,2018,TV-MA,53,['RU'],1.0,6.6,449.0,9.31,"['drama', 'thriller']",7.265
A.I.C.O. -Incarnation-,2018,TV-14,25,['JP'],1.0,6.3,1203.0,11.039,"['action', 'animation']",6.484999999999999
My Shy Boss,2017,TV-MA,71,['KR'],1.0,7.2,1614.0,10.861,"['comedy', 'drama']",7.699999999999999
100 Days My Prince,2018,TV-14,75,['KR'],1.0,7.7,2068.0,10.313,"['drama', 'thriller']",8.09535
Afflicted,2018,TV-MA,42,['BR'],1.0,5.1,1120.0,6.058,"['documentation', 'thriller']",5.390000000000001
Dancing Queen,2018,,41,['US'],1.0,6.9,1614.0,7.295,"['music', 'reality']",6.92
Million Yen Women,2017,,30,['JP'],1.0,7.6,1835.0,10.133,"['crime', 'drama']",7.359999999999999
Fugitiva,2018,TV-MA,52,['ES'],1.0,5.6,665.0,5.727,"['drama', 'thriller']",6.404999999999999
72 Dangerous Animals: Asia,2018,TV-14,47,['US'],1.0,6.6,517.0,10.561,['documentation'],6.59
My Dead Ex,2018,,25,['US'],1.0,7.4,485.0,4.739,"['comedy', 'drama']",7.26
Misty,2018,TV-MA,71,['KR'],1.0,8.1,620.0,5.594,"['crime', 'drama']",8.105
Terrorism Close Calls,2018,,48,['US'],1.0,5.2,712.0,1.837,['documentation'],6.34
My ID is Gangnam Beauty,2018,TV-MA,57,['KR'],1.0,7.4,4021.0,30.627,"['comedy', 'drama']",7.626749999999999
Girls Incarcerated,2018,TV-MA,43,['GB'],2.0,7.2,1097.0,6.25,"['documentation', 'reality']",7.699999999999999
Smoking,2018,TV-MA,24,['JP'],2.0,7.4,457.0,2.955,"['crime', 'drama']",7.8
Move,2018,TV-MA,48,['US'],1.0,7.4,116.0,2.664,['documentation'],7.35
Hymn of Death,2018,,45,['KR'],1.0,7.6,1209.0,12.956,"['drama', 'history']",8.08
Terrace House: Opening New Doors,2017,,39,['JP'],6.0,7.8,968.0,6.828,"['drama', 'reality']",8.0
Undercover Law,2018,,54,['CO'],1.0,7.2,215.0,2.132,"['action', 'drama']",8.15
Myths & Monsters,2017,TV-PG,43,['GB'],1.0,7.7,841.0,1.804,"['documentation', 'fantasy']",7.680000000000001
72 Dangerous Animals: Latin America,2017,,43,"['AU', 'US']",1.0,6.6,581.0,8.653,['documentation'],6.77
Bitter Daisies,2018,,70,['ES'],2.0,7.2,3274.0,11.931,"['drama', 'thriller']",7.295
LEGO Friends: Girls on a Mission,2018,TV-Y,11,"['DK', 'US']",4.0,6.2,111.0,13.282,['animation'],7.065
The Joel McHale Show with Joel McHale,2018,TV-MA,25,['US'],2.0,7.1,2396.0,6.858,['comedy'],6.93
The Velvet Collection,2017,TV-14,57,['ES'],3.0,7.2,1416.0,19.328,"['comedy', 'drama']",6.9350000000000005
Kibaoh Klashers,2017,TV-Y7,24,['CN'],2.0,6.4,18.0,4.313,['scifi'],7.3
Last Hope,2018,TV-14,24,['JP'],1.0,5.8,434.0,8.604,"['animation', 'drama']",5.83
My Secret Romance,2017,TV-14,52,['KR'],1.0,7.1,3409.0,25.999,"['comedy', 'romance']",7.649999999999999
Ainori Love Wagon: Asian Journey,2017,,30,['JP'],2.0,6.8,276.0,5.356,['reality'],7.23
All About the Washingtons,2018,TV-G,25,['US'],1.0,4.5,723.0,2.02,"['comedy', 'music']",4.82
All Hail King Julien: Exiled,2017,TV-Y7,23,['US'],1.0,7.4,575.0,6.841,"['animation', 'comedy']",8.025
Switched,2018,TV-MA,39,['JP'],1.0,7.1,1436.0,9.01,"['drama', 'scifi']",7.56
Kantaro: The Sweet Tooth Salaryman,2017,,30,['JP'],1.0,7.6,808.0,1.526,"['comedy', 'drama']",7.539999999999999
Legend Quest,2017,TV-Y7,25,['MX'],1.0,7.2,449.0,5.669,"['comedy', 'fantasy']",7.699999999999999
Ask the Doctor,2017,,28,['AU'],3.0,6.5,292.0,1.907,['documentation'],7.17
Kulipari: Dream Walker,2018,TV-Y7,23,['US'],1.0,7.6,92.0,3.908,"['action', 'animation']",8.35
FIGHTWORLD,2018,TV-MA,42,['US'],1.0,7.5,822.0,3.396,['documentation'],7.31
First Team: Juventus,2018,TV-G,36,['IT'],2.0,7.3,2082.0,1.704,"['reality', 'scifi']",7.615
Edha,2018,TV-MA,40,['AR'],1.0,4.9,647.0,9.754,['drama'],5.785
Rapture,2018,TV-MA,58,['US'],1.0,5.4,11.0,2.391,"['documentation', 'scifi']",6.35
Black Crows,2017,TV-MA,33,"['AE', 'SA', 'SY']",1.0,5.3,308.0,4.802,"['drama', 'war']",6.75
Super Drags,2018,TV-MA,25,['BR'],1.0,5.4,1753.0,2.315,"['animation', 'comedy']",5.585
Battlefish,2018,,43,['US'],1.0,7.1,428.0,2.638,"['documentation', 'reality']",7.56
SWORDGAI The Animation,2018,TV-MA,23,['JP'],2.0,5.8,932.0,21.229,"['action', 'animation']",6.595
Larva Island,2018,TV-Y7,8,"['KR', 'US']",2.0,6.5,430.0,15.128,"['animation', 'comedy']",6.855
Accidentally In Love,2018,TV-14,31,['CN'],1.0,7.4,1156.0,29.906,"['drama', 'family']",7.755000000000001
Million Pound Menu,2018,,60,['GB'],2.0,6.6,565.0,4.744,['reality'],6.59
The Break with Michelle Wolf,2018,TV-MA,26,['US'],1.0,5.1,1870.0,2.61,['comedy'],5.209999999999999
Daughters of Destiny,2017,,61,['IN'],1.0,8.6,922.0,2.962,['documentation'],8.265
Amazing Interiors,2018,TV-PG,26,"['GB', 'US']",1.0,6.6,802.0,3.207,['documentation'],6.68
Paul Hollywood's Big Continental Road Trip,2017,TV-14,59,['GB'],1.0,7.4,211.0,2.926,"['documentation', 'european']",6.9
Titipo Titipo,2018,TV-Y,18,['KR'],2.0,6.8,20.0,1.862,['animation'],8.175
Borges,2018,TV-MA,0,['BR'],2.0,6.2,172.0,1.415,['comedy'],7.109999999999999
Stretch Armstrong & the Flex Fighters,2017,TV-G,23,['US'],2.0,6.1,318.0,4.919,"['action', 'animation']",6.969999999999999
1983,2018,TV-MA,57,['PL'],1.0,6.7,4169.0,9.601,"['drama', 'thriller']",6.775
Wrong Kind of Black,2018,TV-MA,16,['AU'],1.0,7.6,149.0,0.673,"['comedy', 'drama']",7.675
Harvey Street Kids,2018,TV-Y7,24,['US'],4.0,6.7,254.0,9.06,"['action', 'family']",7.675000000000001
Stay Here,2018,TV-PG,32,['US'],1.0,7.4,1101.0,2.49,"['documentation', 'reality']",7.35
Serial Killer with Piers Morgan,2017,TV-14,47,['GB'],2.0,3.9,1404.0,0.884,"['crime', 'documentation']",3.71
Dragon Pilot: Hisone and Masotan,2018,TV-14,25,['JP'],1.0,6.9,501.0,7.435,"['animation', 'scifi']",7.505000000000001
Blazing Transfer Students,2017,TV-MA,26,['JP'],1.0,6.9,121.0,1.481,"['action', 'comedy']",7.55
Argon,2017,,63,['KR'],1.0,7.3,266.0,4.679,['drama'],7.435
Fire Chasers,2017,,55,['US'],1.0,6.5,371.0,1.715,['documentation'],6.585
AMO,2018,TV-MA,24,['PH'],1.0,6.4,409.0,3.804,"['crime', 'drama']",6.4
Unrequited Love,2017,,33,['JP'],1.0,6.7,10.0,2.723,['drama'],8.35
Robozuna,2018,,23,['GB'],3.0,6.7,94.0,3.034,['animation'],7.539999999999999
We Speak Dance,2018,TV-MA,22,['US'],1.0,7.4,148.0,0.992,['documentation'],7.935
LEGO Elves: Secrets of Elvendale,2017,TV-Y7,24,['US'],1.0,6.8,167.0,5.23,"['animation', 'scifi']",7.41
Motown Magic,2018,TV-Y,15,['US'],2.0,7.9,294.0,1.372,"['animation', 'comedy']",8.635000000000002
Dave Chappelle: Equanimity & The Bird Revelation,2017,TV-MA,57,['US'],1.0,,,0.669,['comedy'],8.65
Samantha!,2018,TV-MA,28,['BR'],2.0,6.5,517.0,3.396,['comedy'],6.495
Paprika,2018,TV-Y,13,['US'],1.0,7.9,27.0,0.733,"['animation', 'family']",6.7
Age of Rebellion,2018,TV-MA,72,['TW'],1.0,8.6,49.0,3.151,"['crime', 'drama']",7.5
Falling in Love Like a Romantic Drama,2018,TV-14,40,['JP'],3.0,,,3.178,['reality'],10.0
