title,release_year,age_certification,runtime,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,top_genres,average_score
Pinky and the Brain,1995,TV-Y7,22,['US'],4.0,7.8,30082.0,19.64,"['animation', 'scifi']",7.91
Roswell,1999,TV-PG,44,['US'],3.0,7.5,28981.0,17.462,"['drama', 'scifi']",7.76
Melrose Place,1992,TV-PG,47,['US'],7.0,5.9,12085.0,22.653,"['drama', 'romance']",6.015000000000001
The Tick,1994,TV-Y7,21,['US'],3.0,7.9,9534.0,8.832,"['action', 'comedy']",7.869999999999999
Dharma & Greg,1997,,28,['US'],5.0,6.4,30052.0,8.472,"['comedy', 'romance']",6.625
7th Heaven,1996,TV-PG,45,['US'],11.0,5.2,25380.0,11.315,"['comedy', 'drama']",6.07
Outlaw Star,1998,TV-14,25,['JP'],1.0,7.9,3693.0,6.171,"['action', 'scifi']",7.96
Blossom,1991,,23,['US'],5.0,6.1,8176.0,21.72,"['comedy', 'drama']",6.295
Dragon Ball GT,1996,TV-PG,24,['JP'],4.0,6.8,26274.0,24.059,"['action', 'scifi']",7.365
Comedy Central Presents,1998,TV-14,24,['US'],15.0,8.0,1141.0,22.715,"['comedy', 'documentation']",7.74
Living Single,1993,TV-14,24,['US'],5.0,7.5,5432.0,7.253,['comedy'],7.939999999999999
Mobile Suit Gundam: The 08th MS Team,1996,TV-MA,24,['JP'],1.0,7.9,1595.0,8.559,"['action', 'scifi']",7.915
The Golden Palace,1992,,24,['US'],1.0,7.2,2268.0,3.753,['comedy'],6.575
David Copperfield,1999,TV-PG,69,['GB'],1.0,7.7,4548.0,5.779,['drama'],7.59
The PJs,1999,TV-14,22,['US'],3.0,6.7,3840.0,9.483,"['animation', 'comedy']",7.180000000000001
All Saints,1998,,45,['AU'],12.0,7.0,1414.0,3.727,['drama'],6.88
Slayers,1995,TV-PG,23,['JP'],5.0,7.5,2212.0,28.298,"['action', 'scifi']",7.76
Digimon Adventure 02,2000,TV-G,21,['JP'],2.0,7.4,1650.0,1.771,"['animation', 'drama']",7.215
The FBI Files,1998,TV-PG,50,['US'],7.0,7.9,1145.0,3.258,"['documentation', 'thriller']",7.735
Saved by the Bell: The College Years,1993,TV-G,22,['US'],1.0,6.3,4886.0,5.991,"['comedy', 'romance']",6.755
Divorce Court,1999,,20,['US'],22.0,4.1,311.0,16.719,"['crime', 'reality']",4.035
The New Detectives,1996,TV-PG,52,['US'],9.0,7.8,562.0,1.611,"['crime', 'documentation']",7.91
Cold Squad,1998,TV-14,43,['CA'],7.0,6.8,563.0,6.718,"['crime', 'drama']",6.869999999999999
VanDread,2000,TV-14,22,['JP'],2.0,7.0,872.0,19.04,"['action', 'drama']",7.15
"Pinky, Elmyra & The Brain",1998,TV-Y7,19,['US'],1.0,5.7,808.0,13.323,"['comedy', 'family']",6.1850000000000005
Saiyuki,1999,,22,['JP'],1.0,,,0.838,['action'],2.8
It's Always Sunny in Philadelphia,2005,TV-MA,23,['US'],15.0,8.8,216532.0,49.77,['comedy'],8.635000000000002
Modern Family,2009,TV-PG,21,['US'],11.0,8.5,409355.0,117.062,"['comedy', 'drama']",8.215
Lost,2004,TV-14,44,['US'],6.0,8.4,536573.0,140.875,"['action', 'thriller']",8.255
Justified,2010,TV-MA,43,['US'],6.0,8.6,97277.0,23.694,"['drama', 'thriller']",8.399999999999999
RuPaul's Drag Race,2009,TV-14,51,['US'],14.0,8.5,19332.0,57.597,['reality'],8.26
