title,type,release_year,age_certification,runtime,genre,production_countries,seasons,imdb_votes,tmdb_popularity,average_score
Slay,MOVIE,2021,,93,romance,['ZA'],,103,1.676,4.800000000000001
Carnaval,MOVIE,2021,,94,comedy,['BR'],,914,27.733,4.795
"Mark, Mary + Some Other People",MOVIE,2021,,90,romance,['US'],,,5.37,5.86
Beckett,MOVIE,2021,R,109,crime,"['BR', 'IT']",,25703,86.212,6.135
Awake,MOVIE,2021,R,96,drama,['US'],,21498,89.154,5.65
The Last Mercenary,MOVIE,2021,,110,action,['FR'],,8476,108.089,6.119999999999999
America: The Motion Picture,MOVIE,2021,R,98,action,['US'],,6349,68.439,5.91
Ghost Lab,MOVIE,2021,,117,thriller,['TH'],,1424,50.322,5.975
Good on Paper,MOVIE,2021,R,92,comedy,['US'],,11987,14.843,5.865
Monster Family 2,MOVIE,2021,PG,103,animation,"['DE', 'GB']",,597,113.887,6.0
Trapped,MOVIE,2002,R,106,crime,"['DE', 'US']",,23937,12.657,6.34
Bo Burnham: Inside,MOVIE,2021,R,87,comedy,['US'],,44074,11.434,8.54
Lady Boss: The Jackie Collins Story,MOVIE,2021,,96,documentation,"['GB', 'US']",,401,2.614,6.8
Audible,MOVIE,2021,PG-13,39,documentation,['US'],,,8.896,6.3
Cinema Bandi,MOVIE,2021,,98,drama,['IN'],,2488,1.609,7.78
Nail Bomber: Manhunt,MOVIE,2021,,72,crime,['GB'],,2142,9.516,6.619999999999999
The Upshaws - The Afterparty,MOVIE,2021,R,32,,['US'],,,1.878,7.930000000000001
Rogue Hostage,MOVIE,2021,,94,thriller,['US'],,2058,99.415,4.895
Security,MOVIE,2021,,118,thriller,['IT'],,1989,25.561,5.515000000000001
Marilyn's Eyes,MOVIE,2021,,110,comedy,['IT'],,1396,6.821,6.859999999999999
Three Songs for Benazir,MOVIE,2021,,22,drama,['AF'],,,3.333,7.23
Feral State,MOVIE,2021,R,78,thriller,['US'],,2658,3.42,5.585
In Our Mothers' Gardens,MOVIE,2021,,84,documentation,['US'],,132,2.079,8.6
Momshies! Your Soul is Mine,MOVIE,2021,,108,comedy,['PH'],,27,2.17,5.8
Mommy Issues,MOVIE,2021,,89,comedy,['PH'],,39,2.324,3.6500000000000004
The Circle: The Afterparty,MOVIE,2021,,35,,['US'],,,1.882,10.0
Settlers,MOVIE,2021,,103,scifi,"['GB', 'ZA']",,4564,8.807,4.965
Fly Away Home,MOVIE,1996,PG,107,drama,['US'],,25370,12.683,7.01
One Second,MOVIE,2021,,88,comedy,['EG'],,378,1.96,6.449999999999999
Breaking Boundaries: The Science of Our Planet,MOVIE,2021,,73,documentation,['US'],,2663,7.679,7.82
Dear Affy,MOVIE,2020,,126,romance,['NG'],,5,0.939,5.2
Sam Smith: Love Goes – Live at Abbey Road Studios,MOVIE,2021,,61,music,['US'],,,1.78,8.829999999999998
Agnes,MOVIE,2021,,93,horror,['US'],,1014,6.985,4.3
Her Name Is Chef,MOVIE,2021,,99,documentation,[],,42,1.814,5.6
Riverdance: The Animated Adventure,MOVIE,2021,,86,animation,['CA'],,1815,113.987,5.765000000000001
Death in Texas,MOVIE,2021,,102,crime,['US'],,555,5.237,6.0
We Need to Do Something,MOVIE,2021,,97,thriller,['US'],,2315,5.721,5.495
Murder by the Coast,MOVIE,2021,PG-13,88,crime,['ES'],,2134,8.719,6.630000000000001
