title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,normalized_tmdb_score,top_genres,genres_count,production_countries_count,average_score,score_difference,genres_uniqueness,production_countries_uniqueness,title_uniqueness_norm
Russell Howard: Lubricant,SHOW,This two-part special features comic Russell Howard's delayed-yet-delighted return to the stage and a look at his life during an unexpected lockdown.,2021,,63,['comedy'],['GB'],1,7.1,828,1.546,5.77,['comedy'],1.0,1.0,6.435,1.33,0.7743576575786824,0.9307862760908432,0.40979224969784295
Hate by Dani Rovira,MOVIE,An uncensored monologue by Dani Rovira about today's society.,2021,PG-13,82,['comedy'],['ES'],,6.7,422,11.023,7.660000000000001,['comedy'],1.0,1.0,7.180000000000001,-0.9600000000000009,0.7743576575786824,0.9738945956460092,0.3342529500907946
Coyotes,SHOW,"A troop of scouts arrives at Warnaffe for their big summer camp. Among them, the newest member of the Coyotes patrol, Kevin, a rebellious and lonely boy. From the first evening, he leaves to find something to smoke in the neighbouring village. There he meets Marie with whom it's love at first sight. They spend the night by a lake in a quarry. The next day, still under the influence of drugs, Kevin dives into the lake, discovers a cave, diamonds and a corpse of a young man. This is where problems started.",2021,,45,['drama'],"['BE', 'LU']",1,5.2,308,4.707,7.119999999999999,['drama'],1.0,2.0,6.16,-1.919999999999999,0.7665544751910898,0.9948179395940575,0.7460319342450954
The Yin Yang Master,MOVIE,"The world is on the verge of a devastating war with monsters who are coming to retrieve the Scaling Stone. Yin Yang Master Qingming's life is in danger and he travels to different worlds to prepare for the upcoming assaults. On his journey, Qingming finds that the key to all the calamities is embracing his hybrid identity of both human and monster.",2021,,113,"['drama', 'romance']",['CN'],,,,20.188,7.119999999999999,"['drama', 'romance']",2.0,1.0,7.119999999999999,,0.7809468902141508,0.9870936949198634,0.45339074588849787
Somos.,SHOW,"The lives of the people of Allende, a Mexican border town, are overtaken by a powerful cartel's operations, leading to tragedy. Inspired by true events.",2021,TV-MA,52,"['crime', 'drama', 'history']",['MX'],1,7.1,1138,25.704,7.93,"['crime', 'drama']",3.0,1.0,7.515,-0.8300000000000001,0.8488682996921346,0.9821845086248843,0.7460319331624748
Too Hot to Handle: Latino,SHOW,"Singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.",2021,TV-14,36,"['reality', 'romance']",['MX'],1,5.4,284,12.408,7.57,"['reality', 'romance']",2.0,1.0,6.485,-2.17,0.898640470142253,0.9821845086248843,0.6121902505676419
Remember You,SHOW,"A genius detective teams up with a colleague to investigate a case that hits close to home, but the duo becomes entangled in a cat-and-mouse game.",2021,TV-MA,67,"['action', 'crime', 'drama', 'romance']",['TH'],1,7.5,78,3.202,7.3,"['action', 'drama']",4.0,1.0,7.4,0.20000000000000018,0.7507958106211653,0.9950965439262535,0.8229586833512276
American Girl,MOVIE,"Uprooted from Los Angeles after her mother is stricken with breast cancer, thirteen year old Fen struggles to adjust to life in Taipei. As Fen navigates her way through school and reconnects with her long-separated father, her turbulent bond with her mother worsens. Fen drifts further away from her mother through a series of rebellious acts before her younger sister is misdiagnosed with SARS, pushing Fen and her mother towards a heated, long-gestating confrontation.",2021,,101,"['drama', 'family']",['TW'],,7.1,1221,2.57,6.9399999999999995,"['drama', 'family']",2.0,1.0,7.02,0.16000000000000014,0.83120411366359,0.9919903435176843,0.7460319349190148
Man in Love,MOVIE,"A-Cheng collects debts for a gangster and doesn't skimp on violence, but he can also be merciful to those who deserve it. He has a crush on Hao-ting, the daughter of one of the debtors, but he only knows the underworld and so embarks on a clumsy and primitive courtship that includes reducing the girl's debts in exchange for pity dates. But when Hao-ting catches a glimpse of the good in him, the clouds of melodrama thicken and A-Cheng is forced to come to terms with the real nature of his work.",2021,,115,"['drama', 'romance']",['TW'],,6.9,1744,3.611,7.57,"['drama', 'romance']",2.0,1.0,7.235,-0.6699999999999999,0.7809468902141508,0.9919903435176843,0.6759702660250089
Dasvi,MOVIE,"Jailed under a tough cop, an uneducated politician decides to spend his time studying for high school, while his scheming wife has plans of her own.",2022,,125,"['comedy', 'drama']",['IN'],,7.4,21050,3.327,6.130000000000001,"['comedy', 'drama']",2.0,1.0,6.765000000000001,1.2699999999999996,0.676586758987894,0.9216856422869464,0.8229586824759471
